"Company","Website","Email","ContactName","Position","Notes"
"1С","1c.ru","1c@1c.ru","Борис Нуралиев","Директор","Разработка ПО и ERP"
"Битрикс24","bitrix24.ru","info@bitrix24.ru","Сергей Рыжиков","Генеральный директор","CRM и корпоративный портал"
"amoCRM","amocrm.ru","info@amocrm.ru","Михаил Токовинин","Основатель","Облачная CRM-система"
"МойСклад","moysklad.ru","info@moysklad.ru","Аскар Рахимбердиев","Генеральный директор","Облачная ERP для торговли"
"Тензор (СБИС)","tensor.ru","info@tensor.ru","Сергей Уваров","Генеральный директор","Электронный документооборот (SaaS)"
"СКБ Контур","kontur.ru","info@skbkontur.ru","Евгений Филамонов","Генеральный директор","ПО для бизнеса и бухгалтерии"
"Roistat","roistat.com","support@roistat.com","Герман Гаврилов","Основатель","Сквозная аналитика"
"Mango Office","mango-office.ru","sales@mango.ru","","","Облачная телефония (SaaS)"
"Calltouch","calltouch.ru","info@calltouch.ru","","","Коллтрекинг и аналитика"
"Selectel","selectel.ru","sales@selectel.ru","Олег Любимов","Генеральный директор","Дата-центры и облачные IT-сервисы"
"Yandex Cloud","cloud.yandex.ru","cloud@yandex-team.ru","Александр Хайтин","Руководитель","Облачная платформа для бизнеса"
"VK Cloud","mcs.mail.ru","sales@mcs.mail.ru","","","IaaS и PaaS решения"
"Лаборатория Касперского","kaspersky.ru","info@kaspersky.com","Евгений Касперский","Генеральный директор","Кибербезопасность (B2B)"
"Positive Technologies","ptsecurity.com","info@ptsecurity.com","Юрий Максимов","Сооснователь","Информационная безопасность"
"КРОК","croc.ru","croc@croc.ru","Борис Бобровников","Генеральный директор","Системный интегратор"
"ЛАНИТ","lanit.ru","lanit@lanit.ru","Филипп Генс","Президент","IT-интегратор"
"Softline","softline.ru","info@softline.ru","Владимир Лавров","Генеральный директор","IT-решения и услуги"
"Diasoft","diasoft.ru","info@diasoft.ru","Александр Глазков","Управляющий директор","ПО для финансового сектора"
"ЦФТ (Центр Финансовых Технологий)","cft.ru","info@cft.ru","","","IT для банков и финтеха"
"Naumen","naumen.ru","info@naumen.ru","Игорь Кириченко","Генеральный директор","Разработка ПО для автоматизации"
"ELMA","elma-bpm.ru","info@elma-bpm.ru","Алексей Трефилов","Директор","BPM-система для бизнеса"
"SimpleOne","simpleone.ru","info@simpleone.ru","Илья Зуев","Генеральный директор","ESM и ITSM системы"
"БФТ-Холдинг","bftcom.com","bft@bftcom.com","Александр Моносов","Генеральный директор","IT для госсектора и крупного бизнеса"
"ICL Services","icl-services.com","info@icl-services.com","","","IT-аутсорсинг и инфраструктура"
"Корус Консалтинг","korusconsulting.ru","info@korusconsulting.ru","Александр Семенов","Президент","IT-консалтинг"
"IBS","ibs.ru","ibs@ibs.ru","Григорий Кочаров","Генеральный директор","IT-услуги и аутсорсинг"
"Т1 Интеграция","t1-integration.ru","info@t1-integration.ru","Игорь Калганов","Генеральный директор","Системная интеграция"
"Рексофт","reksoft.ru","info@reksoft.ru","Александр Егоров","Генеральный директор","Разработка цифровых решений"
"Эвотор","evotor.ru","info@evotor.ru","Андрей Романенко","Генеральный директор","Производство онлайн-касс (Оборудование)"
"АТОЛ","atol.ru","info@atol.ru","Илья Макаров","Генеральный директор","Кассовое оборудование и ПО"
"ШТРИХ-М","shtrih-m.ru","info@shtrih-m.ru","","","Автоматизация торговли"
"ПЭК","pecom.ru","info@pecom.ru","Вадим Филатов","Директор","Транспортно-логистическая компания"
"Деловые Линии","dellin.ru","info@dellin.ru","Фарид Мадани","Генеральный директор","Логистика и грузоперевозки (B2B)"
"СДЭК","cdek.ru","info@cdek.ru","Леонид Гольдорт","Основатель","Курьерская доставка для бизнеса"
"Major Cargo Service","major-express.ru","info@major-express.ru","","","Логистика и таможенное оформление"
"АСКОН","ascon.ru","info@ascon.ru","Максим Богданов","Генеральный директор","Инженерное ПО (CAD/PLM)"
"Галактика","galaktika.ru","info@galaktika.ru","Антон Малков","Член правления","ERP-системы"
"Корпорация Парус","parus.com","info@parus.com","","","IT-решения для управления"
"Северсталь","severstal.com","info@severstal.com","Александр Шевелев","Генеральный директор","Металлургия (Промышленность)"
"НЛМК","nlmk.com","info@nlmk.com","Григорий Федоришин","Президент","Производство стали (Промышленность)"
"СИБУР","sibur.ru","info@sibur.ru","Михаил Карисалов","Генеральный директор","Нефтехимия (Промышленность)"
"BIOCAD","biocad.ru","info@biocad.ru","Дмитрий Морозов","Генеральный директор","Биотехнологии/Фарма"
"ТЕХНОНИКОЛЬ","tn.ru","info@tn.ru","Сергей Колесников","Президент","Производство строительных материалов"
"МаксимаТелеком","maximatelecom.ru","info@maximatelecom.ru","Борис Вольпе","Генеральный директор","Инфраструктурные IT-решения"
"Группа Астра","astralinux.ru","info@astralinux.ru","Илья Сивцев","Генеральный директор","Разработка ОС и инфраструктурного ПО"
"Базальт СПО","basealt.ru","info@basealt.ru","Алексей Смирнов","Председатель совета директоров","Разработка операционных систем"
"МойОфис","myoffice.ru","info@myoffice.ru","Павел Калякин","Генеральный директор","Офисное ПО для корпоративного сектора"
"TrueConf","trueconf.ru","info@trueconf.ru","Дмитрий Одинцов","Директор по развитию","Видеоконференцсвязь (SaaS)"
"Mindbox","mindbox.ru","info@mindbox.ru","Александр Горник","Генеральный директор","Платформа автоматизации маркетинга (B2B SaaS)"
"B2B-Center","b2b-center.ru","info@b2b-center.ru","Андрей Бойко","Коммерческий директор","Электронная торговая площадка"
